Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
0.490125	3	0	0	1964	0	0	1	0	0	8300	50	1	0.866334	0.671999	0	0	0	0	0	0	0	0	0	0	0	0	106157740	
0.670312	4	0	0	2735	0	0	1	0	0	11996	51	0	1.35935	1.01271	0	0	0	0	0	0	0	0	0	0	0	0	1537327672	
0.651043	4	0	0	2562	0	0	1	0	0	11114	49	2	0.784568	0.729397	0	0	0	0	0	0	0	0	0	0	0	0	1537327672	
0.670915	5	0	0	2765	0	0	1	0	0	12138	50	1	0.957058	0.853121	0	0	0	0	0	0	0	0	0	0	0	0	769617110	
0.0568688	5	0	0	2699	0	0	1	0	0	11734	1	1	0.715463	0.715463	0	0	0	0	0	0	0	0	0	0	0	0	769617110	
0.888711	6	0	0	3581	0	0	1	0	0	15556	51	0	1.67299	1.02084	0	0	0	0	0	0	0	0	0	0	0	0	1647351560	
0.863877	6	0	0	3406	0	0	1	0	0	14698	50	1	0.782567	0.738348	0	0	0	0	0	0	0	0	0	0	0	0	1647351560	
1.06216	7	0	0	4159	0	0	1	0	0	18028	51	0	1.64313	1.04882	0	0	0	0	0	0	0	0	0	0	0	0	672853355	
0.982534	7	0	0	3946	0	0	1	0	0	16910	49	2	0.732107	0.685514	0	0	0	0	0	0	0	0	0	0	0	0	672853355	
1.23162	8	0	0	4760	0	0	1	0	0	20816	51	0	1.17117	0.799439	0	0	0	0	0	0	0	0	0	0	0	0	433755102	
1.1917	8	0	0	4695	0	0	1	0	0	20446	47	4	0.726233	0.698846	0	0	0	0	0	0	0	0	0	0	0	0	433755102	
1.61849	9	0	0	5420	0	0	1	0	0	23808	51	0	2.07282	1.39089	0	0	0	0	0	0	0	0	0	0	0	0	69872513	
1.41939	9	0	0	4926	0	0	1	0	0	21506	49	2	0.744639	0.671516	0	0	0	0	0	0	0	0	0	0	0	0	69872513	
1.38969	10	0	0	5263	0	0	1	0	0	23298	51	0	1.41434	0.73805	0	0	0	0	0	0	0	0	0	0	0	0	456750183	
1.38586	10	0	0	5201	0	0	1	0	0	22950	49	2	0.669901	0.652676	0	0	0	0	0	0	0	0	0	0	0	0	456750183	
1.77103	11	0	0	6815	0	0	1	0	0	30336	51	0	0.710362	0.635439	0	0	0	0	0	0	0	0	0	0	0	0	626637720	
1.78558	11	0	0	6788	0	0	1	0	0	30098	49	2	0.601959	0.588131	0	0	0	0	0	0	0	0	0	0	0	0	626637720	
1.80303	12	0	0	7031	0	0	1	0	0	31654	51	0	0.639302	0.597592	0	0	0	0	0	0	0	0	0	0	0	0	1664374466	
2.28396	13	0	0	8520	0	0	1	0	0	38288	51	0	0.591048	0.551286	0	0	0	0	0	0	0	0	0	0	0	0	1429073379	
2.35117	14	0	0	8709	0	0	1	0	0	39456	51	0	0.580316	0.549853	0	0	0	0	0	0	0	0	0	0	0	0	1428487141	
2.76169	15	0	0	10249	0	0	1	0	0	46266	51	0	0.65008	0.559413	0	0	0	0	0	0	0	0	0	0	0	0	1750469169	
2.77882	16	0	0	10340	0	0	1	0	0	46910	51	0	0.684086	0.625762	0	0	0	0	0	0	0	0	0	0	0	0	1472528885	
0.124461	16	0	0	10276	0	0	1	0	0	46512	1	0	0.559204	0.559204	0	0	0	0	0	0	0	0	0	0	0	0	1472528885	
2.93425	17	0	0	10615	0	0	1	0	0	48304	51	0	0.844815	0.733529	0	0	0	0	0	0	0	0	0	0	0	0	748678880	
2.91529	17	0	0	10465	0	0	1	0	0	47468	49	2	0.576746	0.561585	0	0	0	0	0	0	0	0	0	0	0	0	748678880	
2.8666	18	0	0	10629	0	0	1	0	0	48672	51	0	0.682562	0.604488	0	0	0	0	0	0	0	0	0	0	0	0	507090750	
0.232936	18	0	0	10584	0	0	1	0	0	48358	1	1	0.571542	0.571542	0	0	0	0	0	0	0	0	0	0	0	0	507090750	
3.05097	19	0	0	11026	0	0	1	0	0	50558	51	0	0.712439	0.65185	0	0	0	0	0	0	0	0	0	0	0	0	268847495	
2.96403	19	0	0	10912	0	0	1	0	0	49982	50	1	0.587378	0.576729	0	0	0	0	0	0	0	0	0	0	0	0	268847495	
3.46327	20	0	0	12635	0	0	1	0	0	57764	51	0	0.72126	0.642416	0	0	0	0	0	0	0	0	0	0	0	0	289351068	
3.46495	20	0	0	12572	0	0	1	0	0	57244	50	1	0.598544	0.584646	0	0	0	0	0	0	0	0	0	0	0	0	289351068	
3.55259	21	0	0	12813	0	0	1	0	0	58568	51	0	0.703902	0.614898	0	0	0	0	0	0	0	0	0	0	0	0	897658064	
0.17428	21	0	0	12779	0	0	1	0	0	58270	1	0	0.590618	0.590618	0	0	0	0	0	0	0	0	0	0	0	0	897658064	
3.67307	22	0	0	13025	0	0	1	0	0	59912	51	0	0.675959	0.629686	0	0	0	0	0	0	0	0	0	0	0	0	1119887588	
3.60074	22	0	0	12985	0	0	1	0	0	59542	50	1	0.595861	0.5864	0	0	0	0	0	0	0	0	0	0	0	0	1119887588	
4.2706	23	0	0	14800	0	0	1	0	0	67798	51	0	0.67157	0.601793	0	0	0	0	0	0	0	0	0	0	0	0	1159754689	
4.13057	23	0	0	14784	0	0	1	0	0	67486	50	1	0.574233	0.563395	0	0	0	0	0	0	0	0	0	0	0	0	1159754689	
4.22894	24	0	0	15087	0	0	1	0	0	69306	51	0	0.809607	0.708797	0	0	0	0	0	0	0	0	0	0	0	0	362442651	
4.1102	24	0	0	14871	0	0	1	0	0	67950	50	1	0.586978	0.569052	0	0	0	0	0	0	0	0	0	0	0	0	362442651	
