Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
0.21802	3	0	0	901	0	0	1	0	0	3792	50	1	1.16513	0.875993	0	0	0	0	0	0	0	0	0	0	0	0	1960691938	
0.207088	3	0	0	886	0	0	1	0	0	3660	44	3	0.781142	0.684756	0	0	0	0	0	0	0	0	0	0	0	0	1960691938	
0.309032	4	0	0	1193	0	0	1	0	0	5558	51	0	1.41976	1.1433	0	0	0	0	0	0	0	0	0	0	0	0	1078340171	
0.276238	4	0	0	1093	0	0	1	0	0	4900	49	2	0.851375	0.79425	0	0	0	0	0	0	0	0	0	0	0	0	1078340171	
0.386326	5	0	0	1514	0	0	1	0	0	7132	51	0	1.6217	1.27938	0	0	0	0	0	0	0	0	0	0	0	0	281418	
0.305973	5	0	0	1373	0	0	1	0	0	6210	44	0	0.941754	0.857711	0	0	0	0	0	0	0	0	0	0	0	0	281418	
0.512872	6	0	0	1805	0	0	1	0	0	9286	50	1	1.50003	1.20089	0	0	0	0	0	0	0	0	0	0	0	0	1584042216	
0.430884	6	0	0	1646	0	0	1	0	0	8086	51	0	0.968619	0.901472	0	0	0	0	0	0	0	0	0	0	0	0	1584042216	
0.449152	6	0	0	1616	0	0	1	0	0	7902	51	0	0.873145	0.856766	0	0	0	0	0	0	0	0	0	0	0	0	1584042216	
0.498316	7	0	0	1703	0	0	1	0	0	9754	51	0	1.3545	1.08939	0	0	0	0	0	0	0	0	0	0	0	0	491624696	
0.504074	7	0	0	1618	0	0	1	0	0	8964	51	0	0.937876	0.893273	0	0	0	0	0	0	0	0	0	0	0	0	491624696	
0.519637	7	0	0	1590	0	0	1	0	0	8744	49	2	0.872222	0.861014	0	0	0	0	0	0	0	0	0	0	0	0	491624696	
0.662351	8	0	0	1736	0	0	1	0	0	11050	51	0	1.23877	1.04157	0	0	0	0	0	0	0	0	0	0	0	0	768479201	
0.620934	8	0	0	1661	0	0	1	0	0	10224	50	1	0.880626	0.840259	0	0	0	0	0	0	0	0	0	0	0	0	768479201	
0.724515	9	0	0	1820	0	0	1	0	0	12760	51	0	1.12273	0.927397	0	0	0	0	0	0	0	0	0	0	0	0	2102469315	
0.702829	9	0	0	1773	0	0	1	0	0	12160	51	0	0.831121	0.798194	0	0	0	0	0	0	0	0	0	0	0	0	2102469315	
0.872501	10	0	0	2009	0	0	1	0	0	15076	51	0	0.946455	0.808367	0	0	0	0	0	0	0	0	0	0	0	0	1256872597	
0.856178	10	0	0	1987	0	0	1	0	0	14764	51	0	0.751453	0.734991	0	0	0	0	0	0	0	0	0	0	0	0	1256872597	
0.955204	11	0	0	2158	0	0	1	0	0	17384	51	0	0.877289	0.757809	0	0	0	0	0	0	0	0	0	0	0	0	362442651	
1.03603	11	0	0	2135	0	0	1	0	0	17108	51	0	0.714287	0.700356	0	0	0	0	0	0	0	0	0	0	0	0	362442651	
1.07995	12	0	0	2260	0	0	1	0	0	19562	51	0	0.811905	0.724473	0	0	0	0	0	0	0	0	0	0	0	0	781759124	
1.05498	12	0	0	2238	0	0	1	0	0	19256	51	0	0.687365	0.67928	0	0	0	0	0	0	0	0	0	0	0	0	781759124	
1.23025	13	0	0	2445	0	0	1	0	0	20870	51	0	0.719722	0.668177	0	0	0	0	0	0	0	0	0	0	0	0	1780862618	
